date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-05-28,4.67,4.74,4.66,4.64,41889.2,0.0,0.0,4.602,4.663,4.743,38061.67,42036.68,51547.76
2019-05-27,4.57,4.68,4.66,4.53,42594.04,0.1,2.19,4.604,4.666,4.768,37267.91,41158.66,54910.03
2019-05-24,4.53,4.58,4.56,4.5,26979.61,0.03,0.66,4.596,4.677,4.807,37649.12,43063.9,58112.07
2019-05-23,4.61,4.62,4.53,4.53,38689.38,-0.07,-1.52,4.618,4.704,4.857,43011.6,47292.86,60758.34
2019-05-22,4.68,4.7,4.6,4.58,40156.11,-0.07,-1.5,4.68,4.722,4.916,44288.27,46301.63,67131.29
2019-05-21,4.61,4.71,4.67,4.58,37920.4,0.05,1.08,4.724,4.733,4.969,46011.69,47051.36,70896.55
2019-05-20,4.66,4.69,4.62,4.53,44500.08,-0.05,-1.07,4.728,4.739,5.013,45049.4,49554.73,73057.56
2019-05-17,4.85,4.85,4.67,4.65,53792.02,-0.17,-3.51,4.758,4.743,5.064,48478.67,54947.43,75387.96
2019-05-16,4.84,4.86,4.84,4.78,45072.74,0.02,0.41,4.79,4.784,5.114,51574.11,55688.42,77366.51
2019-05-15,4.75,4.83,4.82,4.72,48773.19,0.13,2.77,4.764,4.797,5.151,48314.99,58125.23,80202.63
2019-05-14,4.67,4.76,4.69,4.67,33108.99,-0.08,-1.68,4.742,4.822,5.188,48091.03,61058.85,82196.62
2019-05-13,4.79,4.81,4.77,4.72,61646.43,-0.06,-1.24,4.75,4.87,5.233,54060.06,68661.4,85666.99
2019-05-10,4.72,4.84,4.83,4.63,69269.22,0.12,2.55,4.728,4.936,5.28,61416.18,73160.25,88617.26
2019-05-09,4.71,4.73,4.71,4.68,28777.13,0.0,0.0,4.778,5.009,5.328,59802.73,74223.83,92007.6
2019-05-08,4.67,4.79,4.71,4.61,47653.4,-0.02,-0.42,4.83,5.109,5.383,67935.47,87960.96,100932.94
2019-05-07,4.71,4.8,4.73,4.68,62954.12,0.07,1.5,4.902,5.205,5.431,74026.67,94741.74,109163.61
2019-05-06,5.02,5.02,4.66,4.61,98427.01,-0.42,-8.27,4.99,5.286,5.483,83262.75,96560.38,122845.74
2019-04-30,5.01,5.08,5.08,4.97,61201.99,0.11,2.21,5.144,5.385,5.527,84904.33,95828.5,127021.62
2019-04-29,5.08,5.13,4.97,4.91,69440.82,-0.1,-1.97,5.24,5.443,5.541,88644.93,99044.6,131546.49
2019-04-26,5.19,5.19,5.07,5.05,78109.4,-0.1,-1.93,5.388,5.504,5.555,107986.45,102280.02,133452.84
2019-04-25,5.43,5.43,5.17,5.15,109134.52,-0.26,-4.79,5.508,5.553,5.557,115456.8,103334.4,134295.14
2019-04-24,5.58,5.6,5.43,5.33,106634.9,-0.13,-2.34,5.582,5.596,5.556,109858.02,102672.58,133058.57
2019-04-23,5.67,5.72,5.56,5.55,79905.0,-0.15,-2.63,5.626,5.624,5.543,106752.68,104074.26,135178.51
2019-04-22,5.67,5.81,5.71,5.63,166148.41,0.04,0.7,5.646,5.646,5.535,109444.26,109791.36,140275.77
2019-04-19,5.53,5.68,5.67,5.47,115461.19,0.13,2.35,5.62,5.656,5.52,96573.6,113904.93,141096.87
2019-04-18,5.67,5.67,5.54,5.52,81140.59,-0.11,-1.95,5.598,5.656,5.499,91211.99,123585.49,142634.13
2019-04-17,5.66,5.7,5.65,5.63,91108.2,-0.01,-0.18,5.61,5.68,5.48,95487.13,149131.11,145382.05
2019-04-16,5.54,5.67,5.66,5.46,93362.93,0.08,1.43,5.622,5.668,5.453,101395.85,158214.74,148477.07
